year,occupation,age_bracket,count_k
2015,Computer Support Specialists,age_25_34,129.0
2015,Computer Support Specialists,age_35_44,122.0
2015,Computer Support Specialists,age_45_54,96.0
2015,Computer Support Specialists,age_55_64,71.0
2015,Computer Support Specialists,age_65_plus,12.0
2015,Computer Support Specialists,total,475.0
2016,Computer Support Specialists,age_16_19,8.0
2016,Computer Support Specialists,age_20_24,44.0
2016,Computer Support Specialists,age_25_34,163.0
2016,Computer Support Specialists,age_35_44,143.0
2016,Computer Support Specialists,age_45_54,110.0
2016,Computer Support Specialists,age_55_64,84.0
2016,Computer Support Specialists,age_65_plus,18.0
2016,Computer Support Specialists,total,570.0
2017,Computer Support Specialists,age_16_19,7.0
2017,Computer Support Specialists,age_20_24,42.0
2017,Computer Support Specialists,age_25_34,164.0
2017,Computer Support Specialists,age_35_44,123.0
2017,Computer Support Specialists,age_45_54,102.0
2017,Computer Support Specialists,age_55_64,81.0
2017,Computer Support Specialists,age_65_plus,13.0
2017,Computer Support Specialists,total,532.0
2018,Computer Support Specialists,age_16_19,5.0
2018,Computer Support Specialists,age_20_24,62.0
2018,Computer Support Specialists,age_25_34,175.0
2018,Computer Support Specialists,age_35_44,128.0
2018,Computer Support Specialists,age_45_54,104.0
2018,Computer Support Specialists,age_55_64,78.0
2018,Computer Support Specialists,age_65_plus,15.0
2018,Computer Support Specialists,total,566.0
2019,Computer Support Specialists,age_16_19,5.0
2019,Computer Support Specialists,age_20_24,36.0
2019,Computer Support Specialists,age_25_34,158.0
2019,Computer Support Specialists,age_35_44,145.0
2019,Computer Support Specialists,age_45_54,119.0
2019,Computer Support Specialists,age_55_64,68.0
2019,Computer Support Specialists,age_65_plus,15.0
2019,Computer Support Specialists,total,547.0
2020,Computer Support Specialists,age_16_19,9.0
2020,Computer Support Specialists,age_20_24,40.0
2020,Computer Support Specialists,age_25_34,190.0
2020,Computer Support Specialists,age_35_44,172.0
2020,Computer Support Specialists,age_45_54,134.0
2020,Computer Support Specialists,age_55_64,95.0
2020,Computer Support Specialists,age_65_plus,19.0
2020,Computer Support Specialists,total,660.0
2021,Computer Support Specialists,age_16_19,6.0
2021,Computer Support Specialists,age_20_24,62.0
2021,Computer Support Specialists,age_25_34,180.0
2021,Computer Support Specialists,age_35_44,139.0
2021,Computer Support Specialists,age_45_54,140.0
2021,Computer Support Specialists,age_55_64,110.0
2021,Computer Support Specialists,age_65_plus,23.0
2021,Computer Support Specialists,total,660.0
2022,Computer Support Specialists,age_16_19,4.0
2022,Computer Support Specialists,age_20_24,43.0
2022,Computer Support Specialists,age_25_34,206.0
2022,Computer Support Specialists,age_35_44,165.0
2022,Computer Support Specialists,age_45_54,136.0
2022,Computer Support Specialists,age_55_64,121.0
2022,Computer Support Specialists,age_65_plus,30.0
2022,Computer Support Specialists,total,704.0
2023,Computer Support Specialists,age_16_19,5.0
2023,Computer Support Specialists,age_20_24,44.0
2023,Computer Support Specialists,age_25_34,185.0
2023,Computer Support Specialists,age_35_44,186.0
2023,Computer Support Specialists,age_45_54,138.0
2023,Computer Support Specialists,age_55_64,104.0
2023,Computer Support Specialists,age_65_plus,25.0
2023,Computer Support Specialists,total,687.0
2024,Computer Support Specialists,age_16_19,1.0
2024,Computer Support Specialists,age_20_24,47.0
2024,Computer Support Specialists,age_25_34,160.0
2024,Computer Support Specialists,age_35_44,175.0
2024,Computer Support Specialists,age_45_54,121.0
2024,Computer Support Specialists,age_55_64,97.0
2024,Computer Support Specialists,age_65_plus,32.0
2024,Computer Support Specialists,total,633.0
2015,Computer Systems Analysts,age_16_19,1.0
2015,Computer Systems Analysts,age_20_24,26.0
2015,Computer Systems Analysts,age_25_34,142.0
2015,Computer Systems Analysts,age_35_44,160.0
2015,Computer Systems Analysts,age_45_54,125.0
2015,Computer Systems Analysts,age_55_64,82.0
2015,Computer Systems Analysts,age_65_plus,17.0
2015,Computer Systems Analysts,total,552.0
2016,Computer Systems Analysts,age_16_19,1.0
2016,Computer Systems Analysts,age_20_24,30.0
2016,Computer Systems Analysts,age_25_34,138.0
2016,Computer Systems Analysts,age_35_44,137.0
2016,Computer Systems Analysts,age_45_54,129.0
2016,Computer Systems Analysts,age_55_64,79.0
2016,Computer Systems Analysts,age_65_plus,12.0
2016,Computer Systems Analysts,total,526.0
2017,Computer Systems Analysts,age_16_19,0.0
